Designator,Footprint,Quantity,Value,LCSC Part #
"12V, 5V, MOTOR",HANDSON_KF301-2P,3,KF301-2P,
"BOOT, EN",SW_TS-1088-AR02016,2,TS-1088-AR02016,
"C1, C10, C11, C3, C4",CAPC2012X95N,5,CL21B104KBCNNNC,
C12,CAP_EEEFK1H101P,1,EEEFK1H101P,
C2,CAPC2012X140N,1,CL21B106KOQNNNE,
C5,CAPC2012X140N,1,CL21A226MQQNNNE,
"C6, C7, C9",CAPC2012X135N,3,CL21B105KAFNNNE,
C8,CAPC2012X95N,1,CL21B473KBCNNNC,
D1,SODFL4626X120N,1,SS14F-HF,
H1_2,SOP65P640X120-25N,1,DRV8873SPWPRQ1,
IC1,ESP32S3WROOM1N16R8,1,ESP32-S3-WROOM-1-N16R8,
J1,USB4510031A,1,USB4510-03-1-A,
"J5, J6",SAMTEC_TS-111-T-A-1,2,TS-111-T-A-1,
R1,RESC2012X60N,1,RC0805FR-07100RL,
"R2, R5",RESC2012X60N,2,RC0805FR-0710KL,
"R3, R4",RESC2012X60N,2,RC0805FR-075K1L,
"R6, R7",RESC2012X60N,2,RC0805FR-071K5L,
U1,SOT230P700X180-4N,1,LD1117S33TR,
