Designator,Mid X,Mid Y,Rotation,Layer
12V,55.43,-55.15,180.0,top
5V,5.76,-35.33,90.0,top
BOOT,68.42,-19.05,0.0,top
C1,10.5,-9.03,0.0,top
C10,44.43,-45.25,90.0,top
C11,47.36,-45.25,90.0,top
C12,55.7,-46.14,0.0,top
C2,15.56,-8.89,0.0,top
C3,27.59,-6.21,90.0,top
C4,37.54,-2.49,90.0,top
C5,34.69,-2.55,90.0,top
C6,35.39,-5.42,180.0,top
C7,40.47,-28.398,270.0,top
C8,41.44,-41.66,270.0,top
C9,41.44,-45.27,270.0,top
D1,29.86,-23.5,90.0,top
EN,21.59,-7.06,180.0,top
H1_2,35.05,-36.08,270.0,top
IC1,50.0,-7.5,0.0,top
J1,23.4275,-18.35,270.0,top
J5,56.82,-24.61,0.0,top
J6,56.84,-28.74,0.0,top
MOTOR,34.3925,-95.2,0.0,top
R1,62.89,-18.88,0.0,top
R2,31.1,-6.21,90.0,top
R3,29.37,-15.62,270.0,top
R4,32.6,-21.12,270.0,top
R5,40.53,-23.66,270.0,top
R6,32.47,-29.72,270.0,top
R7,29.56,-34.2,90.0,top
U1,13.04,-4.16,0.0,top
